X	Y	Elev	G	FA	Boug
227304	9941365	0.00	978014.5121	-18.4632924498	-17.80330677
228417	9941365	0.00	978014.5979	-18.3774411575	-17.7175531193
229531	9941365	0.00	978014.6479	-18.3274526677	-17.6850877913
230645	9941366	0.00	978014.5829	-18.3924777453	-17.7790578501
231759	9941366	0.00	978014.3268	-18.6485448342	-18.0684944575
232872	9941367	0.00	978013.8177	-19.1577033965	-18.6085540857
233986	9941367	0.00	978013.0172	-19.958160577	-19.4317001594
235100	9941368	0.00	978011.9187	-21.0566672104	-20.5409334363
236213	9941368	0.00	978010.5512	-22.4241923828	-21.9059930878
237327	9941369	0.00	978008.9798	-23.9955783535	-23.4631491493
238441	9941369	0.00	978007.3019	-25.6734271312	-25.1188218298
239554	9941369	0.00	978005.6394	-27.3359857736	-26.7568359084
240668	9941370	0.00	978004.1270	-28.8483252083	-28.2486970482
241782	9941370	0.00	978002.8997	-30.0757024721	-29.465909934
242895	9941371	0.00	978002.0777	-30.8977074324	-30.2930892639
244009	9941371	0.00	978001.7537	-31.2216582639	-30.6404771654
245122	9941371	0.00	978001.9816	-30.993744179	-30.4544936324
246236	9941372	0.00	978002.7687	-30.2066185728	-29.7251123589
247350	9941372	0.00	978004.0729	-28.902500466	-28.4891578234
248463	9941373	0.00	978005.8041	-27.1713090571	-26.8290297098
249577	9941373	0.00	978007.8315	-25.1438840705	-24.8668342261
250690	9941373	0.00	978009.9945	-22.980874822	-22.754387384
251804	9941374	0.00	978012.1170	-20.8583541767	-20.6599995865
252917	9941374	0.00	978014.0238	-18.9515768144	-18.753304783
254031	9941375	0.00	978015.5569	-17.4185136785	-17.1896214357
255144	9941375	0.00	978016.5905	-16.3848323828	-16.0954012205
256258	9941375	0.00	978017.0435	-15.93185251	-15.5562264032
257371	9941376	0.00	978016.8867	-16.088700937	-15.6085678326
258485	9941376	0.00	978016.1459	-16.8294592168	-16.2361390249
259598	9941377	0.00	978014.8998	-18.0755804747	-17.3712182716
260712	9941377	0.00	978013.2721	-19.70331334	-18.9008098085
261825	9941377	0.00	978011.4200	-21.5553634943	-20.677030237
262939	9941378	0.00	978009.5198	-23.4556033075	-22.5306887525
264052	9941378	0.00	978007.7500	-25.2253502918	-24.2867225813
265166	9941379	0.00	978006.2758	-26.6996041798	-25.7799830786
266279	9941379	0.00	978005.2337	-27.7416709823	-26.8698581976
267393	9941379	0.00	978004.7206	-28.2548022145	-27.4523614289
268506	9941380	0.00	978004.7856	-28.1898132005	-27.4685972645
269620	9941380	0.00	978005.4273	-27.5480762765	-26.9088961605
270733	9941380	0.00	978006.5956	-26.3797640521	-25.8123551287
271847	9941381	0.00	978008.1977	-24.7776921871	-24.2619756216
272960	9941381	0.00	978010.1078	-22.8675305134	-22.3760106759
274073	9941382	0.00	978012.1799	-20.7954737812	-20.2964761954
275187	9941382	0.00	978014.2607	-18.7146592365	-18.1760144654
276300	9941382	0.00	978016.2037	-16.7716731772	-16.1644022119
